,restaurant_name,category,pricing_for_2,pricing_level,dining_rating,dining_review_count,locality,district,zipcode,latitude,longitude
0,Rustom's,Parsi,2100,1000-2500,4.9,1885," ITO, New Delhi",Central Delhi,110002,28.638167,77.240472
0,Rustom's,Street Food,2100,1000-2500,4.9,1885," ITO, New Delhi",Central Delhi,110002,28.638167,77.240472
0,Rustom's,North Indian,2100,1000-2500,4.9,1885," ITO, New Delhi",Central Delhi,110002,28.638167,77.240472
0,Rustom's,Desserts,2100,1000-2500,4.9,1885," ITO, New Delhi",Central Delhi,110002,28.638167,77.240472
0,Rustom's,Beverages,2100,1000-2500,4.9,1885," ITO, New Delhi",Central Delhi,110002,28.638167,77.240472
1,Cafe Lota,Cafe,1200,1000-2500,4.9,3748," Pragati Maidan, New Delhi",South East Delhi,110503,28.613429,77.242471
1,Cafe Lota,South Indian,1200,1000-2500,4.9,3748," Pragati Maidan, New Delhi",South East Delhi,110503,28.613429,77.242471
1,Cafe Lota,North Indian,1200,1000-2500,4.9,3748," Pragati Maidan, New Delhi",South East Delhi,110503,28.613429,77.242471
1,Cafe Lota,Beverages,1200,1000-2500,4.9,3748," Pragati Maidan, New Delhi",South East Delhi,110503,28.613429,77.242471
2,Dum-Pukht - ITC Maurya,Mughlai,5000,2500-5000,4.9,1371," ITC Maurya, Chanakyapuri, New Delhi",South East Delhi,110021,28.5982003,77.17366073
2,Dum-Pukht - ITC Maurya,North Indian,5000,2500-5000,4.9,1371," ITC Maurya, Chanakyapuri, New Delhi",South East Delhi,110021,28.5982003,77.17366073
2,Dum-Pukht - ITC Maurya,Desserts,5000,2500-5000,4.9,1371," ITC Maurya, Chanakyapuri, New Delhi",South East Delhi,110021,28.5982003,77.17366073
3,Burma Burma,Asian,1600,1000-2500,4.9,2636," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49446439,77.08853245
3,Burma Burma,Burmese,1600,1000-2500,4.9,2636," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49446439,77.08853245
3,Burma Burma,Bubble Tea,1600,1000-2500,4.9,2636," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49446439,77.08853245
3,Burma Burma,Desserts,1600,1000-2500,4.9,2636," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49446439,77.08853245
3,Burma Burma,Salad,1600,1000-2500,4.9,2636," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49446439,77.08853245
4,The Big Chill,Continental,1500,1000-2500,4.9,6487," Khan Market, New Delhi",Central Delhi,110003,28.60035007,77.22749334
4,The Big Chill,American,1500,1000-2500,4.9,6487," Khan Market, New Delhi",Central Delhi,110003,28.60035007,77.22749334
4,The Big Chill,Italian,1500,1000-2500,4.9,6487," Khan Market, New Delhi",Central Delhi,110003,28.60035007,77.22749334
5,Carnatic Cafe,South Indian,600,500-1000,4.9,2518," Lodhi Colony, New Delhi",Central Delhi,110003,28.584296,77.226613
6,"Cocktails & Dreams, Speakeasy",Nepalese,2500,1000-2500,4.9,1299,"Sector 15, Gurgaon",South West Delhi,122022,28.45797541,77.0446267
6,"Cocktails & Dreams, Speakeasy",Tibetan,2500,1000-2500,4.9,1299,"Sector 15, Gurgaon",South West Delhi,122022,28.45797541,77.0446267
6,"Cocktails & Dreams, Speakeasy",Beverages,2500,1000-2500,4.9,1299,"Sector 15, Gurgaon",South West Delhi,122022,28.45797541,77.0446267
7,Natural Ice Cream,Ice Cream,400,0-500,4.9,4014," Connaught Place, New Delhi",Central Delhi,110001,28.63444917,77.22203437
7,Natural Ice Cream,Desserts,400,0-500,4.9,4014," Connaught Place, New Delhi",Central Delhi,110001,28.63444917,77.22203437
8,Kuremal Mohan Lal Kulfi Wale,Ice Cream,200,0-500,4.9,1120," Chawri Bazar, New Delhi",Central Delhi,110006,28.64766195,77.22699109
8,Kuremal Mohan Lal Kulfi Wale,Desserts,200,0-500,4.9,1120," Chawri Bazar, New Delhi",Central Delhi,110006,28.64766195,77.22699109
9,Juggernaut,South Indian,700,500-1000,4.8,2480," Kailash Colony, New Delhi",South East Delhi,110048,28.55293914,77.24094898
9,Juggernaut,North Indian,700,500-1000,4.8,2480," Kailash Colony, New Delhi",South East Delhi,110048,28.55293914,77.24094898
9,Juggernaut,Fast Food,700,500-1000,4.8,2480," Kailash Colony, New Delhi",South East Delhi,110048,28.55293914,77.24094898
9,Juggernaut,Desserts,700,500-1000,4.8,2480," Kailash Colony, New Delhi",South East Delhi,110048,28.55293914,77.24094898
9,Juggernaut,Beverages,700,500-1000,4.8,2480," Kailash Colony, New Delhi",South East Delhi,110048,28.55293914,77.24094898
10,Comorin,North Indian,2500,1000-2500,4.8,803," Two Horizon Center, Golf Course Road, Gurgaon",Faridabad,122009,28.45154524,77.0971011
10,Comorin,Desserts,2500,1000-2500,4.8,803," Two Horizon Center, Golf Course Road, Gurgaon",Faridabad,122009,28.45154524,77.0971011
10,Comorin,Beverages,2500,1000-2500,4.8,803," Two Horizon Center, Golf Course Road, Gurgaon",Faridabad,122009,28.45154524,77.0971011
11,Viet:Nom,Vietnamese,2000,1000-2500,4.8,1381," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49569519,77.08890092
11,Viet:Nom,Beverages,2000,1000-2500,4.8,1381," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49569519,77.08890092
12,Cafeteria & Co.,Cafe,1300,1000-2500,4.8,5228," Vijay Nagar, New Delhi",North Delhi,110009,28.69448281,77.2042758
12,Cafeteria & Co.,Continental,1300,1000-2500,4.8,5228," Vijay Nagar, New Delhi",North Delhi,110009,28.69448281,77.2042758
12,Cafeteria & Co.,Italian,1300,1000-2500,4.8,5228," Vijay Nagar, New Delhi",North Delhi,110009,28.69448281,77.2042758
12,Cafeteria & Co.,Fast Food,1300,1000-2500,4.8,5228," Vijay Nagar, New Delhi",North Delhi,110009,28.69448281,77.2042758
12,Cafeteria & Co.,Oriental,1300,1000-2500,4.8,5228," Vijay Nagar, New Delhi",North Delhi,110009,28.69448281,77.2042758
12,Cafeteria & Co.,Beverages,1300,1000-2500,4.8,5228," Vijay Nagar, New Delhi",North Delhi,110009,28.69448281,77.2042758
13,Sana-Di-Ge,Mangalorean,2200,1000-2500,4.8,2038," Chanakyapuri, New Delhi",South East Delhi,110021,28.60191756,77.18709189
13,Sana-Di-Ge,Seafood,2200,1000-2500,4.8,2038," Chanakyapuri, New Delhi",South East Delhi,110021,28.60191756,77.18709189
13,Sana-Di-Ge,Goan,2200,1000-2500,4.8,2038," Chanakyapuri, New Delhi",South East Delhi,110021,28.60191756,77.18709189
13,Sana-Di-Ge,South Indian,2200,1000-2500,4.8,2038," Chanakyapuri, New Delhi",South East Delhi,110021,28.60191756,77.18709189
13,Sana-Di-Ge,North Indian,2200,1000-2500,4.8,2038," Chanakyapuri, New Delhi",South East Delhi,110021,28.60191756,77.18709189
13,Sana-Di-Ge,Kerala,2200,1000-2500,4.8,2038," Chanakyapuri, New Delhi",South East Delhi,110021,28.60191756,77.18709189
14,Pa Pa Ya,Asian,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
14,Pa Pa Ya,Chinese,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
14,Pa Pa Ya,Thai,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
14,Pa Pa Ya,Japanese,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
14,Pa Pa Ya,Sushi,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
14,Pa Pa Ya,Malaysian,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
14,Pa Pa Ya,Momos,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
14,Pa Pa Ya,Beverages,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
15,Yum Yum Cha,Asian,1800,1000-2500,4.8,1742," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.4950508,77.0876302
15,Yum Yum Cha,Japanese,1800,1000-2500,4.8,1742," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.4950508,77.0876302
15,Yum Yum Cha,Sushi,1800,1000-2500,4.8,1742," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.4950508,77.0876302
15,Yum Yum Cha,Desserts,1800,1000-2500,4.8,1742," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.4950508,77.0876302
15,Yum Yum Cha,Beverages,1800,1000-2500,4.8,1742," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.4950508,77.0876302
15,Yum Yum Cha,Rolls,1800,1000-2500,4.8,1742," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.4950508,77.0876302
16,Coast Cafe,Continental,1400,1000-2500,4.8,1472," Hauz Khas Village, New Delhi",South Delhi,110016,28.55481538,77.19520323
16,Coast Cafe,Kerala,1400,1000-2500,4.8,1472," Hauz Khas Village, New Delhi",South Delhi,110016,28.55481538,77.19520323
17,PizzaExpress,Fast Food,1000,500-1000,4.8,3077,"Ambience Mall, DLF Phase 3, Gurgaon",Faridabad,122010,28.50264536,77.09726773
17,PizzaExpress,Italian,1000,500-1000,4.8,3077,"Ambience Mall, DLF Phase 3, Gurgaon",Faridabad,122010,28.50264536,77.09726773
17,PizzaExpress,Beverages,1000,500-1000,4.8,3077,"Ambience Mall, DLF Phase 3, Gurgaon",Faridabad,122010,28.50264536,77.09726773
17,PizzaExpress,Desserts,1000,500-1000,4.8,3077,"Ambience Mall, DLF Phase 3, Gurgaon",Faridabad,122010,28.50264536,77.09726773
18,The Big Chill Cakery,Bakery,400,0-500,4.8,884,"DLF Mall of India, Sector 18,  Noida, Noida",Gautam Buddha Nagar,201301,28.56788211,77.32097134
18,The Big Chill Cakery,Desserts,400,0-500,4.8,884,"DLF Mall of India, Sector 18,  Noida, Noida",Gautam Buddha Nagar,201301,28.56788211,77.32097134
19,Music & Mountains - Hillside Cafe,Cafe,2100,1000-2500,4.7,3731,"M Block Market, Greater Kailash 1 (GK1), New Delhi",South East Delhi,110048,28.5497806,77.2358045
19,Music & Mountains - Hillside Cafe,Italian,2100,1000-2500,4.7,3731,"M Block Market, Greater Kailash 1 (GK1), New Delhi",South East Delhi,110048,28.5497806,77.2358045
19,Music & Mountains - Hillside Cafe,Continental,2100,1000-2500,4.7,3731,"M Block Market, Greater Kailash 1 (GK1), New Delhi",South East Delhi,110048,28.5497806,77.2358045
19,Music & Mountains - Hillside Cafe,Fast Food,2100,1000-2500,4.7,3731,"M Block Market, Greater Kailash 1 (GK1), New Delhi",South East Delhi,110048,28.5497806,77.2358045
19,Music & Mountains - Hillside Cafe,Salad,2100,1000-2500,4.7,3731,"M Block Market, Greater Kailash 1 (GK1), New Delhi",South East Delhi,110048,28.5497806,77.2358045
19,Music & Mountains - Hillside Cafe,Beverages,2100,1000-2500,4.7,3731,"M Block Market, Greater Kailash 1 (GK1), New Delhi",South East Delhi,110048,28.5497806,77.2358045
20,Gulati,North Indian,2500,1000-2500,4.7,6509," Pandara Road Market, New Delhi",Central Delhi,110003,28.608007,77.23014
20,Gulati,Biryani,2500,1000-2500,4.7,6509," Pandara Road Market, New Delhi",Central Delhi,110003,28.608007,77.23014
20,Gulati,Hyderabadi,2500,1000-2500,4.7,6509," Pandara Road Market, New Delhi",Central Delhi,110003,28.608007,77.23014
20,Gulati,Mughlai,2500,1000-2500,4.7,6509," Pandara Road Market, New Delhi",Central Delhi,110003,28.608007,77.23014
20,Gulati,Kebab,2500,1000-2500,4.7,6509," Pandara Road Market, New Delhi",Central Delhi,110003,28.608007,77.23014
21,Olive Bar & Kitchen,Italian,4000,2500-5000,4.7,2734," Mehrauli, New Delhi",South Delhi,110030,28.52577788,77.18435403
21,Olive Bar & Kitchen,Pizza,4000,2500-5000,4.7,2734," Mehrauli, New Delhi",South Delhi,110030,28.52577788,77.18435403
21,Olive Bar & Kitchen,Mediterranean,4000,2500-5000,4.7,2734," Mehrauli, New Delhi",South Delhi,110030,28.52577788,77.18435403
21,Olive Bar & Kitchen,Continental,4000,2500-5000,4.7,2734," Mehrauli, New Delhi",South Delhi,110030,28.52577788,77.18435403
21,Olive Bar & Kitchen,European,4000,2500-5000,4.7,2734," Mehrauli, New Delhi",South Delhi,110030,28.52577788,77.18435403
21,Olive Bar & Kitchen,Beverages,4000,2500-5000,4.7,2734," Mehrauli, New Delhi",South Delhi,110030,28.52577788,77.18435403
21,Olive Bar & Kitchen,Desserts,4000,2500-5000,4.7,2734," Mehrauli, New Delhi",South Delhi,110030,28.52577788,77.18435403
22,The Grammar Room,Continental,1200,1000-2500,4.7,1068," Mehrauli, New Delhi",South Delhi,110030,28.52594107,77.1843309
22,The Grammar Room,Desserts,1200,1000-2500,4.7,1068," Mehrauli, New Delhi",South Delhi,110030,28.52594107,77.1843309
22,The Grammar Room,Beverages,1200,1000-2500,4.7,1068," Mehrauli, New Delhi",South Delhi,110030,28.52594107,77.1843309
23,Chaina Ram Sindhi Confectioners,Mithai,350,0-500,4.7,1155," Chandni Chowk, New Delhi",Central Delhi,110006,28.65659478,77.22325142
23,Chaina Ram Sindhi Confectioners,Street Food,350,0-500,4.7,1155," Chandni Chowk, New Delhi",Central Delhi,110006,28.65659478,77.22325142
24,Sevilla - The Claridges,Spanish,4500,2500-5000,4.7,1630," The Claridges, Aurangzeb Road, New Delhi",South East Delhi,100011,28.6003355,77.2169236
24,Sevilla - The Claridges,Italian,4500,2500-5000,4.7,1630," The Claridges, Aurangzeb Road, New Delhi",South East Delhi,100011,28.6003355,77.2169236
24,Sevilla - The Claridges,Desserts,4500,2500-5000,4.7,1630," The Claridges, Aurangzeb Road, New Delhi",South East Delhi,100011,28.6003355,77.2169236
25,Bo Tai,Thai,2500,1000-2500,4.7,1194," Mehrauli, New Delhi",South Delhi,110030,28.52563884,77.18419746
25,Bo Tai,Japanese,2500,1000-2500,4.7,1194," Mehrauli, New Delhi",South Delhi,110030,28.52563884,77.18419746
25,Bo Tai,Asian,2500,1000-2500,4.7,1194," Mehrauli, New Delhi",South Delhi,110030,28.52563884,77.18419746
25,Bo Tai,Beverages,2500,1000-2500,4.7,1194," Mehrauli, New Delhi",South Delhi,110030,28.52563884,77.18419746
26,Cafe Wink,Cafe,800,500-1000,4.7,3291," Anand Vihar, New Delhi",Gautam Buddha Nagar,201011,28.6573105,77.3171005
26,Cafe Wink,Continental,800,500-1000,4.7,3291," Anand Vihar, New Delhi",Gautam Buddha Nagar,201011,28.6573105,77.3171005
26,Cafe Wink,Italian,800,500-1000,4.7,3291," Anand Vihar, New Delhi",Gautam Buddha Nagar,201011,28.6573105,77.3171005
27,Spezia Bistro,Pizza,900,500-1000,4.7,3829," Delhi University-GTB Nagar, New Delhi",North Delhi,110009,28.69486926,77.20431905
27,Spezia Bistro,Chinese,900,500-1000,4.7,3829," Delhi University-GTB Nagar, New Delhi",North Delhi,110009,28.69486926,77.20431905
27,Spezia Bistro,Momos,900,500-1000,4.7,3829," Delhi University-GTB Nagar, New Delhi",North Delhi,110009,28.69486926,77.20431905
27,Spezia Bistro,Fast Food,900,500-1000,4.7,3829," Delhi University-GTB Nagar, New Delhi",North Delhi,110009,28.69486926,77.20431905
27,Spezia Bistro,Italian,900,500-1000,4.7,3829," Delhi University-GTB Nagar, New Delhi",North Delhi,110009,28.69486926,77.20431905
27,Spezia Bistro,Beverages,900,500-1000,4.7,3829," Delhi University-GTB Nagar, New Delhi",North Delhi,110009,28.69486926,77.20431905
27,Spezia Bistro,Continental,900,500-1000,4.7,3829," Delhi University-GTB Nagar, New Delhi",North Delhi,110009,28.69486926,77.20431905
28,Evoo - Eatery And Pizzeria,Cafe,1500,1000-2500,4.7,782," Geetanjali Enclave, New Delhi",South Delhi,110017,28.53327099,77.20625997
28,Evoo - Eatery And Pizzeria,Italian,1500,1000-2500,4.7,782," Geetanjali Enclave, New Delhi",South Delhi,110017,28.53327099,77.20625997
28,Evoo - Eatery And Pizzeria,Desserts,1500,1000-2500,4.7,782," Geetanjali Enclave, New Delhi",South Delhi,110017,28.53327099,77.20625997
28,Evoo - Eatery And Pizzeria,Beverages,1500,1000-2500,4.7,782," Geetanjali Enclave, New Delhi",South Delhi,110017,28.53327099,77.20625997
29,Oh! Calcutta,Bengali,1500,1000-2500,4.7,2337,"Greater Kailash 2 (GK2), New Delhi",South East Delhi,110048,28.53725711,77.23862182
29,Oh! Calcutta,Desserts,1500,1000-2500,4.7,2337,"Greater Kailash 2 (GK2), New Delhi",South East Delhi,110048,28.53725711,77.23862182
30,Greenr Cafe,Cafe,1200,1000-2500,4.7,954,"32nd Avenue, NH8, Gurgaon, Gurgaon",South West Delhi,122022,28.4615361,77.04978224
30,Greenr Cafe,Italian,1200,1000-2500,4.7,954,"32nd Avenue, NH8, Gurgaon, Gurgaon",South West Delhi,122022,28.4615361,77.04978224
30,Greenr Cafe,Mexican,1200,1000-2500,4.7,954,"32nd Avenue, NH8, Gurgaon, Gurgaon",South West Delhi,122022,28.4615361,77.04978224
30,Greenr Cafe,Salad,1200,1000-2500,4.7,954,"32nd Avenue, NH8, Gurgaon, Gurgaon",South West Delhi,122022,28.4615361,77.04978224
30,Greenr Cafe,Healthy Food,1200,1000-2500,4.7,954,"32nd Avenue, NH8, Gurgaon, Gurgaon",South West Delhi,122022,28.4615361,77.04978224
30,Greenr Cafe,Desserts,1200,1000-2500,4.7,954,"32nd Avenue, NH8, Gurgaon, Gurgaon",South West Delhi,122022,28.4615361,77.04978224
30,Greenr Cafe,Mediterranean,1200,1000-2500,4.7,954,"32nd Avenue, NH8, Gurgaon, Gurgaon",South West Delhi,122022,28.4615361,77.04978224
31,Downtown - Diners & Living Beer Cafe,Bar Food,2200,1000-2500,4.7,5344,"Sector 29, Gurgaon",Faridabad,122007,28.46814663,77.06374515
31,Downtown - Diners & Living Beer Cafe,North Indian,2200,1000-2500,4.7,5344,"Sector 29, Gurgaon",Faridabad,122007,28.46814663,77.06374515
31,Downtown - Diners & Living Beer Cafe,Fast Food,2200,1000-2500,4.7,5344,"Sector 29, Gurgaon",Faridabad,122007,28.46814663,77.06374515
31,Downtown - Diners & Living Beer Cafe,Italian,2200,1000-2500,4.7,5344,"Sector 29, Gurgaon",Faridabad,122007,28.46814663,77.06374515
31,Downtown - Diners & Living Beer Cafe,Chinese,2200,1000-2500,4.7,5344,"Sector 29, Gurgaon",Faridabad,122007,28.46814663,77.06374515
31,Downtown - Diners & Living Beer Cafe,Beverages,2200,1000-2500,4.7,5344,"Sector 29, Gurgaon",Faridabad,122007,28.46814663,77.06374515
32,Chili's Grill & Bar,Mexican,1200,1000-2500,4.7,3956," Pacific Mall, Tagore Garden, New Delhi",West Delhi,110027,28.64220025,77.10657667
32,Chili's Grill & Bar,Italian,1200,1000-2500,4.7,3956," Pacific Mall, Tagore Garden, New Delhi",West Delhi,110027,28.64220025,77.10657667
32,Chili's Grill & Bar,American,1200,1000-2500,4.7,3956," Pacific Mall, Tagore Garden, New Delhi",West Delhi,110027,28.64220025,77.10657667
32,Chili's Grill & Bar,Tex-Mex,1200,1000-2500,4.7,3956," Pacific Mall, Tagore Garden, New Delhi",West Delhi,110027,28.64220025,77.10657667
32,Chili's Grill & Bar,Beverages,1200,1000-2500,4.7,3956," Pacific Mall, Tagore Garden, New Delhi",West Delhi,110027,28.64220025,77.10657667
32,Chili's Grill & Bar,Desserts,1200,1000-2500,4.7,3956," Pacific Mall, Tagore Garden, New Delhi",West Delhi,110027,28.64220025,77.10657667
33,Theos,Cafe,1500,1000-2500,4.7,2696,"Sector 41, Noida",Gautam Buddha Nagar,201303,28.56147307,77.36089703
33,Theos,Desserts,1500,1000-2500,4.7,2696,"Sector 41, Noida",Gautam Buddha Nagar,201303,28.56147307,77.36089703
33,Theos,Salad,1500,1000-2500,4.7,2696,"Sector 41, Noida",Gautam Buddha Nagar,201303,28.56147307,77.36089703
34,Kuuraku,Japanese,1700,1000-2500,4.7,1169," Global Foyer Mall, Golf Course Road, Gurgaon",Faridabad,122009,28.45988429,77.09414564
34,Kuuraku,Sushi,1700,1000-2500,4.7,1169," Global Foyer Mall, Golf Course Road, Gurgaon",Faridabad,122009,28.45988429,77.09414564
35,Threesixtyone Degrees - The Oberoi,Asian,5500,above 5000,4.7,1019," The Oberoi, Udyog Vihar, Gurgaon",Faridabad,122010,28.50198271,77.08698515
35,Threesixtyone Degrees - The Oberoi,Continental,5500,above 5000,4.7,1019," The Oberoi, Udyog Vihar, Gurgaon",Faridabad,122010,28.50198271,77.08698515
35,Threesixtyone Degrees - The Oberoi,North Indian,5500,above 5000,4.7,1019," The Oberoi, Udyog Vihar, Gurgaon",Faridabad,122010,28.50198271,77.08698515
35,Threesixtyone Degrees - The Oberoi,Mughlai,5500,above 5000,4.7,1019," The Oberoi, Udyog Vihar, Gurgaon",Faridabad,122010,28.50198271,77.08698515
35,Threesixtyone Degrees - The Oberoi,Desserts,5500,above 5000,4.7,1019," The Oberoi, Udyog Vihar, Gurgaon",Faridabad,122010,28.50198271,77.08698515
35,Threesixtyone Degrees - The Oberoi,Beverages,5500,above 5000,4.7,1019," The Oberoi, Udyog Vihar, Gurgaon",Faridabad,122010,28.50198271,77.08698515
36,Jom Jom Malay,Asian,1800,1000-2500,4.7,935," Saket, New Delhi",South Delhi,110017,28.52869059,77.21953724
36,Jom Jom Malay,Malaysian,1800,1000-2500,4.7,935," Saket, New Delhi",South Delhi,110017,28.52869059,77.21953724
36,Jom Jom Malay,Thai,1800,1000-2500,4.7,935," Saket, New Delhi",South Delhi,110017,28.52869059,77.21953724
36,Jom Jom Malay,Chinese,1800,1000-2500,4.7,935," Saket, New Delhi",South Delhi,110017,28.52869059,77.21953724
36,Jom Jom Malay,Salad,1800,1000-2500,4.7,935," Saket, New Delhi",South Delhi,110017,28.52869059,77.21953724
36,Jom Jom Malay,Momos,1800,1000-2500,4.7,935," Saket, New Delhi",South Delhi,110017,28.52869059,77.21953724
37,Andrea's Eatery,Asian,2000,1000-2500,4.7,1380," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52836598,77.21856024
37,Andrea's Eatery,Italian,2000,1000-2500,4.7,1380," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52836598,77.21856024
37,Andrea's Eatery,Beverages,2000,1000-2500,4.7,1380," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52836598,77.21856024
37,Andrea's Eatery,Continental,2000,1000-2500,4.7,1380," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52836598,77.21856024
37,Andrea's Eatery,Fast Food,2000,1000-2500,4.7,1380," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52836598,77.21856024
37,Andrea's Eatery,Desserts,2000,1000-2500,4.7,1380," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52836598,77.21856024
38,The Ivy,Mediterranean,1300,1000-2500,4.7,1249,"Baani Square, Sector 50, Gurgaon",Gurgaon,101301,28.42523183,77.05690317
38,The Ivy,Lebanese,1300,1000-2500,4.7,1249,"Baani Square, Sector 50, Gurgaon",Gurgaon,101301,28.42523183,77.05690317
38,The Ivy,Continental,1300,1000-2500,4.7,1249,"Baani Square, Sector 50, Gurgaon",Gurgaon,101301,28.42523183,77.05690317
38,The Ivy,Desserts,1300,1000-2500,4.7,1249,"Baani Square, Sector 50, Gurgaon",Gurgaon,101301,28.42523183,77.05690317
39,The Saffron Boutique,North Indian,1600,1000-2500,4.7,1714," Hajipur, Noida",Gautam Buddha Nagar,201303,28.53913421,77.36620814
39,The Saffron Boutique,Mughlai,1600,1000-2500,4.7,1714," Hajipur, Noida",Gautam Buddha Nagar,201303,28.53913421,77.36620814
39,The Saffron Boutique,Chinese,1600,1000-2500,4.7,1714," Hajipur, Noida",Gautam Buddha Nagar,201303,28.53913421,77.36620814
40,Master Koii's,Asian,1900,1000-2500,4.7,833," Sushant Lok, Gurgaon",Faridabad,122002,28.46133832,77.0780021
40,Master Koii's,Chinese,1900,1000-2500,4.7,833," Sushant Lok, Gurgaon",Faridabad,122002,28.46133832,77.0780021
40,Master Koii's,Thai,1900,1000-2500,4.7,833," Sushant Lok, Gurgaon",Faridabad,122002,28.46133832,77.0780021
40,Master Koii's,Malaysian,1900,1000-2500,4.7,833," Sushant Lok, Gurgaon",Faridabad,122002,28.46133832,77.0780021
40,Master Koii's,Korean,1900,1000-2500,4.7,833," Sushant Lok, Gurgaon",Faridabad,122002,28.46133832,77.0780021
41,Kunzum Travel Cafe,Cafe,500,0-500,4.7,642," Hauz Khas Village, New Delhi",South Delhi,110016,28.55358321,77.19443243
42,Echoes Living Room,Cafe,800,500-1000,4.7,3," Subhash Nagar, New Delhi",West Delhi,110064,28.63420463,77.11627018
42,Echoes Living Room,Continental,800,500-1000,4.7,3," Subhash Nagar, New Delhi",West Delhi,110064,28.63420463,77.11627018
42,Echoes Living Room,Chinese,800,500-1000,4.7,3," Subhash Nagar, New Delhi",West Delhi,110064,28.63420463,77.11627018
42,Echoes Living Room,Fast Food,800,500-1000,4.7,3," Subhash Nagar, New Delhi",West Delhi,110064,28.63420463,77.11627018
42,Echoes Living Room,Desserts,800,500-1000,4.7,3," Subhash Nagar, New Delhi",West Delhi,110064,28.63420463,77.11627018
42,Echoes Living Room,Beverages,800,500-1000,4.7,3," Subhash Nagar, New Delhi",West Delhi,110064,28.63420463,77.11627018
43,AMA Cafe,Cafe,550,500-1000,4.6,5229," Majnu ka Tila, New Delhi",Central Delhi,110054,28.702644,77.228294
43,AMA Cafe,Continental,550,500-1000,4.6,5229," Majnu ka Tila, New Delhi",Central Delhi,110054,28.702644,77.228294
43,AMA Cafe,Desserts,550,500-1000,4.6,5229," Majnu ka Tila, New Delhi",Central Delhi,110054,28.702644,77.228294
43,AMA Cafe,Beverages,550,500-1000,4.6,5229," Majnu ka Tila, New Delhi",Central Delhi,110054,28.702644,77.228294
44,Bukhara - ITC Maurya,North Indian,6500,above 5000,4.6,4657," ITC Maurya, Chanakyapuri, New Delhi",South East Delhi,110021,28.5982159,77.17364732
44,Bukhara - ITC Maurya,Kebab,6500,above 5000,4.6,4657," ITC Maurya, Chanakyapuri, New Delhi",South East Delhi,110021,28.5982159,77.17364732
45,Leo's,Pizza,1700,1000-2500,4.6,1179," Vasant Vihar, New Delhi",West Delhi,110057,28.55856774,77.16385525
45,Leo's,Italian,1700,1000-2500,4.6,1179," Vasant Vihar, New Delhi",West Delhi,110057,28.55856774,77.16385525
45,Leo's,Beverages,1700,1000-2500,4.6,1179," Vasant Vihar, New Delhi",West Delhi,110057,28.55856774,77.16385525
46,Pirates of Grill,North Indian,1500,1000-2500,4.6,952," Ambience Mall, Vasant Kunj, New Delhi",South Delhi,110070,28.54102895,77.15504117
46,Pirates of Grill,Mughlai,1500,1000-2500,4.6,952," Ambience Mall, Vasant Kunj, New Delhi",South Delhi,110070,28.54102895,77.15504117
47,Roadhouse Cafe,Cafe,900,500-1000,4.6,1162,"Greater Kailash 1 (GK1), New Delhi",South East Delhi,110048,28.54984981,77.23574918
47,Roadhouse Cafe,Pizza,900,500-1000,4.6,1162,"Greater Kailash 1 (GK1), New Delhi",South East Delhi,110048,28.54984981,77.23574918
